calculated_host_listings_count,availability_365,neighbourhood_n,longitude,room_type_n,price
2.0,126.0,20.0,-73.95575,0.0,67
1.0,0.0,10.0,-73.99023,0.0,109
1.0,0.0,12.0,-73.94474,0.0,80
1.0,0.0,29.0,-73.96818,1.0,149
327.0,133.0,5.0,-73.97612,1.0,244
1.0,11.0,7.0,-73.98832,1.0,70
2.0,253.0,152.0,-73.76849,1.0,89
2.0,0.0,19.0,-73.99054,1.0,250
1.0,0.0,12.0,-73.94263,0.0,110
1.0,0.0,2.0,-73.94834,1.0,82
3.0,89.0,117.0,-73.94779,1.0,88
1.0,276.0,90.0,-74.02363,1.0,175
1.0,0.0,9.0,-73.99632,0.0,115
2.0,0.0,6.0,-73.93867,0.0,36
1.0,0.0,12.0,-73.94909,0.0,50
1.0,0.0,197.0,-73.99591,1.0,150
49.0,251.0,1.0,-73.96515,1.0,675
1.0,72.0,110.0,-74.08441,1.0,100
1.0,0.0,13.0,-73.97789,1.0,85
1.0,358.0,21.0,-73.92504,0.0,90
1.0,34.0,2.0,-73.94159,0.0,57
1.0,2.0,28.0,-73.95402,1.0,180
1.0,0.0,12.0,-73.95298,0.0,90
2.0,0.0,2.0,-73.95066,1.0,200
1.0,0.0,12.0,-73.94548,0.0,70
2.0,250.0,79.0,-73.99888,0.0,40
327.0,328.0,43.0,-74.01243,0.0,262
327.0,220.0,71.0,-73.98732,1.0,699
1.0,0.0,6.0,-73.93144,0.0,100
1.0,0.0,12.0,-73.95804,1.0,175
1.0,342.0,27.0,-73.99869,1.0,145
4.0,102.0,7.0,-73.98644,0.0,61
1.0,0.0,38.0,-73.99082,1.0,150
1.0,302.0,15.0,-73.93399,0.0,31
1.0,0.0,51.0,-73.95125,0.0,79
2.0,5.0,25.0,-73.9447,1.0,69
5.0,339.0,28.0,-73.95073,1.0,199
103.0,246.0,31.0,-73.89444,0.0,47
3.0,350.0,20.0,-73.93956,0.0,46
1.0,0.0,27.0,-74.00101,1.0,180
1.0,0.0,17.0,-73.97391,1.0,350
1.0,0.0,14.0,-73.99753,1.0,180
4.0,307.0,126.0,-73.89534,0.0,49
1.0,0.0,30.0,-73.94018,0.0,40
1.0,156.0,36.0,-73.99977,1.0,350
2.0,42.0,53.0,-73.99731,0.0,70
3.0,16.0,12.0,-73.96215,0.0,90
1.0,0.0,21.0,-73.91875,0.0,49
1.0,94.0,54.0,-73.94872,0.0,45
5.0,62.0,70.0,-73.88686,0.0,50
1.0,0.0,26.0,-73.98285,2.0,65
1.0,132.0,81.0,-73.8876,1.0,100
1.0,0.0,2.0,-73.95125,1.0,150
1.0,91.0,12.0,-73.9437,0.0,150
1.0,314.0,21.0,-73.92046,1.0,120
1.0,0.0,10.0,-73.98587,1.0,120
1.0,0.0,22.0,-73.96104,0.0,35
1.0,4.0,12.0,-73.94476,0.0,47
2.0,0.0,2.0,-73.94591,0.0,65
1.0,0.0,26.0,-73.97822,1.0,1550
1.0,0.0,15.0,-73.95668,0.0,45
1.0,251.0,111.0,-73.99102,0.0,30
1.0,0.0,21.0,-73.91755,0.0,60
1.0,0.0,56.0,-73.9067,1.0,70
1.0,37.0,6.0,-73.95036,0.0,65
1.0,0.0,44.0,-73.8952,1.0,70
2.0,154.0,33.0,-73.99944,0.0,80
1.0,128.0,4.0,-73.94483,1.0,130
1.0,12.0,6.0,-73.94235,0.0,50
1.0,85.0,0.0,-73.97064,0.0,95
49.0,257.0,1.0,-73.96638,1.0,714
1.0,38.0,6.0,-73.95141,0.0,95
1.0,0.0,9.0,-73.99971,0.0,88
1.0,327.0,141.0,-73.88301,1.0,120
2.0,9.0,19.0,-73.9882,1.0,129
1.0,164.0,103.0,-73.87543,0.0,45
2.0,349.0,87.0,-73.85543,0.0,70
1.0,0.0,1.0,-73.96963,1.0,250
19.0,210.0,14.0,-73.99533,1.0,96
3.0,0.0,12.0,-73.95001,0.0,90
3.0,55.0,26.0,-73.98058,0.0,94
2.0,188.0,206.0,-74.10989,0.0,30
2.0,162.0,2.0,-73.95264,0.0,89
2.0,0.0,2.0,-73.93767,0.0,70
2.0,82.0,38.0,-73.98929,1.0,220
1.0,305.0,25.0,-73.92999,0.0,100
1.0,3.0,121.0,-73.89044,1.0,114
1.0,88.0,21.0,-73.91177,0.0,65
1.0,4.0,6.0,-73.93968,1.0,102
1.0,0.0,4.0,-73.94399,1.0,80
32.0,356.0,8.0,-73.9609,0.0,60
1.0,157.0,1.0,-73.96768,1.0,325
1.0,135.0,19.0,-73.98251,1.0,220
15.0,351.0,71.0,-73.98399,0.0,100
1.0,59.0,4.0,-73.94833,0.0,145
1.0,0.0,7.0,-73.99913,1.0,150
1.0,79.0,45.0,-73.95651,1.0,120
2.0,0.0,2.0,-73.95512,0.0,52
1.0,335.0,17.0,-73.98495,1.0,300
1.0,0.0,21.0,-73.92371,0.0,50
1.0,11.0,12.0,-73.96183,1.0,145
9.0,281.0,23.0,-73.99181,1.0,170
1.0,43.0,49.0,-73.90866,0.0,60
11.0,16.0,0.0,-73.98043,0.0,56
1.0,8.0,2.0,-73.95792,1.0,122
2.0,0.0,19.0,-73.98693,1.0,160
1.0,0.0,56.0,-73.92604,1.0,85
3.0,155.0,1.0,-73.98312,0.0,135
2.0,282.0,37.0,-73.82517,0.0,55
5.0,174.0,85.0,-73.76832,0.0,65
6.0,237.0,6.0,-73.91148,0.0,50
96.0,342.0,1.0,-73.98653,1.0,180
1.0,0.0,17.0,-73.97768,1.0,78
3.0,311.0,6.0,-73.95758,2.0,45
2.0,79.0,30.0,-73.94682,1.0,150
2.0,7.0,2.0,-73.95277,2.0,25
2.0,90.0,2.0,-73.95581,0.0,100
4.0,317.0,8.0,-73.96639,0.0,70
1.0,0.0,33.0,-73.99504,1.0,130
1.0,0.0,20.0,-73.95987,1.0,250
1.0,256.0,2.0,-73.94823,0.0,99
4.0,25.0,2.0,-73.95205,1.0,344
1.0,32.0,126.0,-73.90647,1.0,80
4.0,328.0,13.0,-73.9693,1.0,165
1.0,286.0,6.0,-73.92514,0.0,45
1.0,0.0,13.0,-73.97061,1.0,160
1.0,0.0,4.0,-73.93127,0.0,50
1.0,89.0,21.0,-73.9289,0.0,31
1.0,148.0,56.0,-73.91451,1.0,150
1.0,19.0,5.0,-73.97838,0.0,60
2.0,308.0,7.0,-73.9926,0.0,175
3.0,1.0,30.0,-73.93639,0.0,69
1.0,0.0,79.0,-73.99959,1.0,90
2.0,0.0,12.0,-73.94063,0.0,45
1.0,0.0,12.0,-73.95687,0.0,65
1.0,180.0,28.0,-73.95226,0.0,95
3.0,362.0,93.0,-74.07842,0.0,55
3.0,298.0,22.0,-73.96127,0.0,65
1.0,15.0,27.0,-74.00317,1.0,200
1.0,0.0,7.0,-73.9933,1.0,175
2.0,336.0,63.0,-73.84407,1.0,168
1.0,167.0,83.0,-73.87549,0.0,50
1.0,0.0,43.0,-74.01325,1.0,130
2.0,79.0,56.0,-73.92138,1.0,140
1.0,0.0,4.0,-73.93885,2.0,60
1.0,0.0,8.0,-73.96511,0.0,69
1.0,7.0,19.0,-73.98058,1.0,200
3.0,90.0,7.0,-73.98855,0.0,120
1.0,300.0,8.0,-73.9726,0.0,140
1.0,339.0,1.0,-73.98504,1.0,422
2.0,0.0,12.0,-73.93555,0.0,69
1.0,0.0,28.0,-73.95132,1.0,650
1.0,5.0,12.0,-73.95071,1.0,131
1.0,363.0,105.0,-73.92143,0.0,240
1.0,364.0,15.0,-73.96029,1.0,150
1.0,0.0,44.0,-73.89928,0.0,48
1.0,268.0,0.0,-73.98097,1.0,100
1.0,88.0,171.0,-73.83095,2.0,50
9.0,365.0,54.0,-73.91875,0.0,80
14.0,53.0,6.0,-73.93071,1.0,300
1.0,0.0,56.0,-73.92439,1.0,100
3.0,0.0,21.0,-73.90658,1.0,150
1.0,0.0,0.0,-73.97503,0.0,50
2.0,310.0,56.0,-73.92876,0.0,70
3.0,341.0,2.0,-73.95203,0.0,85
1.0,363.0,196.0,-74.08197,0.0,55
1.0,0.0,44.0,-73.91437,1.0,225
1.0,104.0,12.0,-73.96124,1.0,90
3.0,22.0,46.0,-73.77739,1.0,250
1.0,0.0,39.0,-73.92342,0.0,85
3.0,87.0,54.0,-73.92953,1.0,200
1.0,0.0,32.0,-73.992,0.0,60
2.0,0.0,26.0,-73.97593,2.0,49
4.0,325.0,26.0,-73.98186,1.0,195
1.0,0.0,8.0,-73.97435,1.0,180
1.0,70.0,1.0,-73.98323,0.0,90
1.0,0.0,8.0,-73.97231,1.0,115
1.0,0.0,16.0,-73.97593,1.0,230
1.0,0.0,23.0,-73.98935,1.0,900
2.0,0.0,12.0,-73.94472,0.0,100
1.0,0.0,20.0,-73.9415,1.0,149
1.0,0.0,3.0,-73.9605,0.0,149
2.0,90.0,19.0,-73.98441,0.0,100
1.0,86.0,6.0,-73.93167,1.0,190
1.0,0.0,12.0,-73.95503,1.0,120
1.0,67.0,11.0,-74.00546,1.0,229
1.0,77.0,12.0,-73.9562,1.0,215
1.0,97.0,6.0,-73.93581,1.0,110
2.0,0.0,56.0,-73.91875,0.0,40
3.0,242.0,8.0,-73.97802,0.0,45
1.0,0.0,15.0,-73.95535,0.0,45
4.0,334.0,100.0,-73.91406,0.0,89
2.0,341.0,152.0,-73.75437,0.0,60
1.0,350.0,23.0,-73.98519,1.0,300
1.0,0.0,102.0,-73.99822,1.0,100
1.0,316.0,6.0,-73.91651,1.0,150
4.0,335.0,6.0,-73.94735,0.0,52
3.0,0.0,22.0,-73.95522,0.0,98
1.0,0.0,33.0,-73.99539,1.0,100
1.0,0.0,4.0,-73.94283,0.0,100
33.0,338.0,28.0,-73.95182,1.0,150
1.0,0.0,28.0,-73.95193,1.0,300
1.0,295.0,12.0,-73.95736,1.0,118
7.0,1.0,81.0,-73.87553,0.0,33
2.0,64.0,4.0,-73.94239,2.0,65
1.0,0.0,30.0,-73.93959,0.0,50
1.0,357.0,12.0,-73.94421,0.0,44
1.0,310.0,39.0,-73.91393,1.0,160
2.0,270.0,18.0,-73.92472,0.0,149
1.0,0.0,21.0,-73.91531,0.0,60
6.0,365.0,7.0,-73.98749,2.0,75
1.0,135.0,17.0,-73.98301,1.0,175
3.0,72.0,2.0,-73.9412,0.0,62
2.0,363.0,2.0,-73.93885,0.0,74
1.0,0.0,12.0,-73.9487,1.0,199
4.0,121.0,7.0,-73.98565,0.0,61
3.0,258.0,6.0,-73.9344,2.0,25
5.0,262.0,39.0,-73.92076,0.0,80
1.0,0.0,19.0,-73.97911,1.0,140
1.0,111.0,23.0,-73.98975,1.0,300
4.0,3.0,37.0,-73.79576,0.0,80
1.0,0.0,15.0,-73.9404,0.0,59
1.0,0.0,6.0,-73.92183,0.0,125
1.0,0.0,36.0,-73.99415,1.0,160
1.0,248.0,21.0,-73.91957,1.0,139
37.0,39.0,31.0,-73.90471,0.0,33
1.0,0.0,30.0,-73.93891,1.0,150
1.0,58.0,15.0,-73.95741,0.0,75
2.0,106.0,32.0,-73.99771,1.0,200
4.0,365.0,77.0,-74.00401,1.0,490
1.0,59.0,0.0,-73.97057,1.0,95
2.0,18.0,14.0,-73.99514,0.0,109
2.0,296.0,2.0,-73.9505,1.0,99
2.0,0.0,14.0,-74.00009,2.0,50
1.0,0.0,20.0,-73.95478,1.0,135
25.0,341.0,8.0,-73.98717,1.0,300
1.0,128.0,2.0,-73.93771,1.0,120
1.0,0.0,6.0,-73.9534,0.0,69
2.0,257.0,6.0,-73.93805,1.0,96
3.0,88.0,2.0,-73.95006,1.0,210
1.0,231.0,1.0,-73.98233,1.0,1000
1.0,231.0,6.0,-73.94877,1.0,199
1.0,0.0,33.0,-73.99806,0.0,100
232.0,156.0,26.0,-73.97915,1.0,308
1.0,11.0,44.0,-73.9067,1.0,200
232.0,263.0,14.0,-73.99734,1.0,374
4.0,49.0,8.0,-73.98255,0.0,129
1.0,0.0,20.0,-73.94733,1.0,90
1.0,191.0,6.0,-73.95343,1.0,132
1.0,0.0,12.0,-73.9486,0.0,80
1.0,213.0,12.0,-73.96301,1.0,199
1.0,2.0,29.0,-73.96694,1.0,175
1.0,192.0,34.0,-73.99279,0.0,80
10.0,333.0,7.0,-73.99682,0.0,209
4.0,365.0,6.0,-73.93826,0.0,40
2.0,328.0,136.0,-73.86486,0.0,40
1.0,22.0,15.0,-73.92477,0.0,40
1.0,0.0,2.0,-73.95048,0.0,94
1.0,65.0,79.0,-73.99524,1.0,170
2.0,0.0,21.0,-73.91386,2.0,20
1.0,0.0,3.0,-73.96481,1.0,160
1.0,0.0,2.0,-73.94029,0.0,115
1.0,0.0,19.0,-73.98501,1.0,200
1.0,243.0,4.0,-73.94869,1.0,289
1.0,0.0,1.0,-73.987,1.0,299
1.0,322.0,7.0,-73.99403,0.0,125
3.0,350.0,112.0,-73.76935,0.0,47
1.0,0.0,7.0,-73.98589,1.0,150
1.0,0.0,12.0,-73.96866,1.0,170
1.0,24.0,30.0,-73.93095,0.0,50
10.0,106.0,87.0,-73.86509,0.0,55
4.0,249.0,6.0,-73.94839,0.0,70
1.0,0.0,28.0,-73.95212,1.0,100
1.0,52.0,8.0,-73.97967,1.0,100
1.0,365.0,20.0,-73.95153,0.0,199
1.0,0.0,12.0,-73.95675,0.0,66
1.0,360.0,100.0,-73.88688,1.0,125
2.0,0.0,10.0,-73.9906,1.0,120
37.0,30.0,31.0,-73.90443,0.0,35
65.0,364.0,1.0,-73.96507,1.0,385
2.0,138.0,113.0,-73.98552,1.0,97
1.0,0.0,6.0,-73.93599,0.0,90
1.0,70.0,19.0,-73.98283,1.0,158
1.0,0.0,12.0,-73.94939,0.0,45
1.0,0.0,8.0,-73.96797,0.0,70
103.0,251.0,39.0,-73.92127,0.0,39
1.0,1.0,30.0,-73.94046,0.0,75
1.0,0.0,44.0,-73.90721,1.0,275
1.0,0.0,1.0,-73.97334,0.0,300
2.0,177.0,6.0,-73.91503,0.0,150
4.0,231.0,54.0,-73.93784,1.0,165
96.0,327.0,7.0,-73.98752,1.0,202
2.0,2.0,15.0,-73.95177,1.0,185
2.0,141.0,44.0,-73.90291,1.0,170
1.0,114.0,56.0,-73.91548,0.0,100
232.0,359.0,19.0,-73.98415,1.0,312
2.0,0.0,7.0,-73.99347,0.0,160
1.0,4.0,22.0,-73.96425,1.0,89
1.0,30.0,83.0,-73.87542,1.0,69
1.0,0.0,15.0,-73.96194,0.0,60
1.0,0.0,10.0,-73.98725,1.0,190
1.0,321.0,0.0,-73.97851,1.0,299
1.0,21.0,6.0,-73.93399,0.0,45
1.0,0.0,11.0,-74.00582,1.0,240
2.0,0.0,4.0,-73.94995,1.0,150
1.0,0.0,4.0,-73.94191,0.0,60
1.0,0.0,2.0,-73.94843,1.0,100
2.0,0.0,134.0,-73.89761,0.0,77
1.0,15.0,14.0,-74.00213,1.0,175
2.0,133.0,7.0,-73.9948,1.0,175
1.0,0.0,21.0,-73.90815,2.0,42
5.0,126.0,28.0,-73.95533,1.0,133
1.0,0.0,29.0,-73.96385,1.0,100
4.0,365.0,3.0,-73.96112,1.0,999
2.0,0.0,16.0,-73.98439,0.0,40
3.0,193.0,13.0,-73.97516,0.0,150
1.0,0.0,6.0,-73.95136,0.0,150
1.0,0.0,12.0,-73.94378,0.0,75
9.0,362.0,37.0,-73.81971,0.0,80
1.0,358.0,6.0,-73.93626,0.0,175
2.0,327.0,139.0,-73.82588,1.0,149
1.0,0.0,12.0,-73.95421,0.0,46
1.0,88.0,99.0,-73.90101,1.0,150
1.0,365.0,19.0,-73.98337,0.0,250
2.0,257.0,99.0,-73.90075,1.0,60
1.0,0.0,4.0,-73.94413,1.0,250
1.0,0.0,14.0,-73.99376,0.0,81
2.0,72.0,25.0,-73.92887,0.0,150
1.0,0.0,7.0,-73.99917,1.0,200
2.0,311.0,34.0,-73.98979,0.0,95
1.0,0.0,11.0,-74.00445,1.0,115
1.0,0.0,8.0,-73.97997,1.0,169
1.0,0.0,12.0,-73.95868,0.0,59
2.0,7.0,12.0,-73.94965,0.0,75
1.0,91.0,6.0,-73.95014,1.0,130
7.0,177.0,200.0,-73.84657,0.0,38
5.0,365.0,100.0,-73.89567,0.0,120
1.0,0.0,28.0,-73.94524,1.0,125
1.0,363.0,56.0,-73.91182,1.0,135
2.0,178.0,19.0,-73.98665,1.0,128
1.0,67.0,80.0,-73.92251,0.0,45
1.0,122.0,54.0,-73.94999,1.0,104
1.0,9.0,6.0,-73.91711,0.0,75
1.0,85.0,117.0,-73.96286,2.0,50
2.0,203.0,2.0,-73.94656,0.0,59
1.0,178.0,1.0,-73.97066,1.0,375
1.0,92.0,3.0,-73.96631,1.0,325
2.0,36.0,12.0,-73.94822,0.0,80
1.0,0.0,26.0,-73.98085,1.0,200
2.0,267.0,7.0,-73.9945,1.0,195
1.0,0.0,21.0,-73.92218,0.0,45
1.0,0.0,30.0,-73.92912,0.0,33
1.0,36.0,9.0,-73.9982,1.0,146
2.0,100.0,12.0,-73.96833,0.0,88
1.0,248.0,28.0,-73.9573,1.0,139
1.0,87.0,12.0,-73.96449,0.0,55
1.0,93.0,6.0,-73.9497,1.0,195
1.0,13.0,25.0,-73.94194,1.0,180
103.0,209.0,31.0,-73.90782,0.0,60
1.0,0.0,12.0,-73.95978,0.0,65
1.0,74.0,8.0,-73.97575,1.0,140
1.0,0.0,2.0,-73.95092,1.0,100
1.0,0.0,31.0,-73.90844,0.0,46
1.0,15.0,25.0,-73.94175,1.0,150
1.0,90.0,30.0,-73.93024,0.0,45
1.0,249.0,12.0,-73.95656,1.0,275
2.0,34.0,13.0,-73.97691,1.0,160
1.0,0.0,19.0,-73.98545,1.0,195
3.0,333.0,12.0,-73.94467,0.0,72
34.0,365.0,6.0,-73.95657,2.0,39
1.0,7.0,6.0,-73.91884,1.0,75
1.0,0.0,1.0,-73.98372,0.0,95
1.0,145.0,49.0,-73.91084,0.0,50
1.0,164.0,6.0,-73.94694,0.0,170
1.0,0.0,18.0,-73.92986,0.0,50
1.0,0.0,15.0,-73.95616,0.0,50
1.0,0.0,24.0,-73.94532,1.0,79
1.0,0.0,14.0,-73.99032,1.0,300
1.0,0.0,19.0,-73.99122,1.0,350
1.0,0.0,15.0,-73.94421,0.0,65
6.0,256.0,6.0,-73.92975,0.0,90
1.0,0.0,18.0,-73.92537,0.0,50
1.0,0.0,52.0,-74.00275,0.0,100
1.0,0.0,19.0,-73.98775,1.0,275
121.0,184.0,43.0,-74.01429,1.0,229
1.0,89.0,78.0,-74.06625,0.0,54
1.0,5.0,56.0,-73.93084,0.0,78
1.0,331.0,12.0,-73.94457,0.0,40
1.0,12.0,23.0,-73.98898,1.0,300
1.0,0.0,6.0,-73.93005,1.0,100
1.0,0.0,2.0,-73.9497,0.0,25
1.0,34.0,29.0,-73.96378,1.0,275
2.0,1.0,19.0,-73.98801,0.0,95
